,base_market,quote_market,hedge_ratio,half_life
0,XTZ-USD,ETC-USD,0.05177306303017715,14.0
1,XTZ-USD,ZEC-USD,0.027331372864945684,5.0
2,XTZ-USD,MKR-USD,0.0014704320159964158,5.0
3,XTZ-USD,CELO-USD,1.6492513048745694,12.0
4,XTZ-USD,ENJ-USD,2.5930901114960903,4.0
5,XTZ-USD,ZRX-USD,3.884679969816213,5.0
6,XTZ-USD,YFI-USD,0.0001249312062508642,8.0
7,XTZ-USD,SUSHI-USD,0.9715919090983836,4.0
8,XTZ-USD,CRV-USD,1.081171720182342,12.0
9,XTZ-USD,AAVE-USD,0.014240568772699254,12.0
10,XTZ-USD,MATIC-USD,0.9977449037200725,13.0
11,XTZ-USD,ETH-USD,0.000545571255192987,7.0
12,ETC-USD,MKR-USD,0.02839343935821765,15.0
13,ETC-USD,ZRX-USD,75.00765578509349,16.0
14,ETC-USD,YFI-USD,0.0024128599484550934,5.0
15,ETC-USD,XLM-USD,209.130765360257,5.0
16,ETC-USD,SUSHI-USD,18.761993572465258,13.0
17,ETC-USD,ADA-USD,49.92082194131532,20.0
18,ETC-USD,CRV-USD,20.878922961363603,15.0
19,ETC-USD,AAVE-USD,0.27499377582612483,19.0
20,ETC-USD,1INCH-USD,39.80660619396705,15.0
21,ETC-USD,ETH-USD,0.010535271831680133,14.0
22,ZEC-USD,MKR-USD,0.053794294552376574,6.0
23,ZEC-USD,ATOM-USD,3.359287961184171,12.0
24,ZEC-USD,CELO-USD,60.336806099412144,13.0
25,ZEC-USD,FIL-USD,6.874165029219005,11.0
26,ZEC-USD,ZRX-USD,142.1142374412901,9.0
27,ZEC-USD,YFI-USD,0.004570603045008783,9.0
28,ZEC-USD,COMP-USD,0.9305200276301964,5.0
29,ZEC-USD,ADA-USD,94.58581294040947,9.0
30,ZEC-USD,CRV-USD,39.555445376062934,12.0
31,ZEC-USD,AAVE-USD,0.5210093923781091,9.0
32,ZEC-USD,ETH-USD,0.019959326458464356,7.0
33,LINK-USD,DOGE-USD,89.14646621354734,9.0
34,MKR-USD,CELO-USD,1121.436455533466,12.0
35,MKR-USD,ENJ-USD,1763.3276476062563,4.0
36,MKR-USD,FIL-USD,127.76210788303626,11.0
37,MKR-USD,ZRX-USD,2641.580986763325,6.0
